#YY  MM DD hh mm ss T   HEIGHT
#yr  mo dy hr mn  s -      m
2022 01 25 06 15 00 1 4594.652
2022 01 25 06 00 00 1 4594.675
2022 01 25 05 45 00 1 4594.697
2022 01 25 05 30 00 1 4594.715
2022 01 25 05 15 00 1 4594.735
2022 01 25 05 00 00 1 4594.751
2022 01 25 04 45 00 1 4594.764
2022 01 25 04 30 00 1 4594.777
2022 01 25 04 15 00 1 4594.788
2022 01 25 04 00 00 1 4594.795
2022 01 25 03 45 00 1 4594.798
2022 01 25 03 30 00 1 4594.799
2022 01 25 03 15 00 1 4594.797
2022 01 25 03 00 00 1 4594.791
2022 01 25 02 45 00 1 4594.782
2022 01 25 02 30 00 1 4594.771
2022 01 25 02 15 00 1 4594.758
2022 01 25 02 00 00 1 4594.742
2022 01 25 01 45 00 1 4594.727
2022 01 25 01 30 00 1 4594.711
2022 01 25 01 15 00 1 4594.695
2022 01 25 01 00 00 1 4594.678
2022 01 25 00 45 00 1 4594.659
2022 01 25 00 30 00 1 4594.642
2022 01 25 00 15 00 1 4594.623
2022 01 25 00 00 00 1 4594.606
2022 01 24 23 45 00 1 4594.589
2022 01 24 23 30 00 1 4594.574
2022 01 24 23 15 00 1 4594.557
2022 01 24 23 00 00 1 4594.539
2022 01 24 22 45 00 1 4594.524
2022 01 24 22 30 00 1 4594.511
2022 01 24 22 15 00 1 4594.499
2022 01 24 22 00 00 1 4594.489
2022 01 24 21 45 00 1 4594.482
2022 01 24 21 30 00 1 4594.475
2022 01 24 21 15 00 1 4594.469
2022 01 24 21 00 00 1 4594.466
2022 01 24 20 45 00 1 4594.465
2022 01 24 20 30 00 1 4594.465
2022 01 24 20 15 00 1 4594.466
2022 01 24 20 00 00 1 4594.466
2022 01 24 19 45 00 1 4594.468
2022 01 24 19 30 00 1 4594.471
2022 01 24 19 15 00 1 4594.476
2022 01 24 19 00 00 1 4594.479
